Chart Type,Input Percent,Actual Percent,Error
Tree Map,50,47,1.643856
Bar Chart,95,96,0.169925
Pie Chart,50,50,0
Pie Chart,50,63,3.714246
Bar Chart,65,78,3.714246
Tree Map,20,27,2.83289
Bar Chart,90,91,0.169925
Pie Chart,90,97,2.83289
Tree Map,50,60,3.33985
Tree Map,80,79,0.169925
Pie Chart,80,69,3.475733
Tree Map,40,44,2.044394
Tree Map,80,92,3.599913
Pie Chart,50,47,1.643856
Tree Map,60,66,2.61471
Bar Chart,100,99,0.169925
Tree Map,40,38,1.087463
Bar Chart,85,89,2.044394
Pie Chart,25,31,2.61471
Bar Chart,80,71,3.189825
Pie Chart,45,44,0.169925
Tree Map,50,51,0.169925
Bar Chart,25,28,1.643856
Pie Chart,70,70,0
Tree Map,55,64,3.189825
Bar Chart,80,71,3.189825
Pie Chart,90,87,1.643856
Bar Chart,40,38,1.087463
Pie Chart,50,47,1.643856
Pie Chart,90,82,3.022368
Tree Map,30,29,0.169925
Pie Chart,50,45,2.357552
Tree Map,55,66,3.475733
Tree Map,50,61,3.475733
Tree Map,60,66,2.61471
Bar Chart,50,56,2.61471
Bar Chart,70,69,0.169925
Pie Chart,80,76,2.044394
Pie Chart,60,62,1.087463
Tree Map,90,85,2.357552
Pie Chart,35,26,3.189825
Pie Chart,80,78,1.087463
Pie Chart,50,57,2.83289
Bar Chart,60,63,1.643856
Bar Chart,25,24,0.169925
Tree Map,50,54,2.044394
Bar Chart,30,25,2.357552
Bar Chart,75,71,2.044394
Tree Map,50,59,3.189825
Bar Chart,40,38,1.087463
Bar Chart,60,68,3.022368
Bar Chart,100,97,1.643856
Tree Map,50,51,0.169925
Tree Map,50,57,2.83289
Bar Chart,100,94,2.61471
Bar Chart,40,34,2.61471
Pie Chart,80,85,2.357552
Tree Map,50,62,3.599913
Pie Chart,80,76,2.044394
Pie Chart,90,87,1.643856
Tree Map,50,54,2.044394
Bar Chart,80,83,1.643856
Pie Chart,80,75,2.357552
Pie Chart,80,71,3.189825
Bar Chart,90,92,1.087463
Pie Chart,50,35,3.918863
Bar Chart,40,41,0.169925
Tree Map,80,87,2.83289
Bar Chart,60,70,3.33985
Tree Map,25,29,2.044394
Bar Chart,25,27,1.087463
Bar Chart,25,22,1.643856
Bar Chart,60,54,2.61471
Tree Map,50,63,3.714246
Tree Map,70,86,4.011227
Tree Map,80,94,3.820179
Bar Chart,80,77,1.643856
Bar Chart,40,39,0.169925
Bar Chart,60,61,0.169925
Pie Chart,70,69,0.169925
Pie Chart,100,88,3.599913
Pie Chart,80,68,3.599913
Bar Chart,80,70,3.33985
Bar Chart,50,51,0.169925
Tree Map,100,93,2.83289
Tree Map,40,38,1.087463
Bar Chart,50,51,0.169925
Tree Map,40,33,2.83289
Pie Chart,40,32,3.022368
Tree Map,80,90,3.33985
Pie Chart,50,55,2.357552
Tree Map,40,33,2.83289
Tree Map,90,94,2.044394
Pie Chart,30,29,0.169925
Bar Chart,50,46,2.044394
Pie Chart,80,80,0
Tree Map,50,55,2.357552
Bar Chart,70,65,2.357552
Pie Chart,100,83,4.098032
Pie Chart,80,63,4.098032
Tree Map,90,79,3.475733
Bar Chart,80,80,0
Pie Chart,80,69,3.475733
Tree Map,50,54,2.044394
Tree Map,50,64,3.820179
Tree Map,70,73,1.643856
Pie Chart,90,89,0.169925
Pie Chart,30,24,2.61471
Tree Map,70,80,3.33985
Pie Chart,80,89,3.189825
Pie Chart,50,49,0.169925
Bar Chart,55,63,3.022368
Tree Map,60,72,3.599913
Bar Chart,50,58,3.022368
Bar Chart,50,43,2.83289
