Participant ID,Trial Number, Visualisation, TruePercent, ReportedPercentage
283-8971d,4,verticalBarChart,14,15
283-8971d,3,treemapChart,96,100
283-f6c37,3,pieChart,68,40
283-f6c37,4,donutChart,56,30
283-f6c37,1,bubbleChart,98,80
283-f6c37,2,verticalBarChart,24,25
283-f6c37,0,treemapChart,59,30
283-d54f7,4,pieChart,33,20
283-d54f7,1,donutChart,99,90
283-d54f7,3,bubbleChart,55,50
283-d54f7,2,verticalBarChart,71,75
283-d54f7,0,treemapChart,51,30
283-9f62d,3,pieChart,37,25
283-9f62d,4,donutChart,47,30
283-9f62d,0,bubbleChart,63,40
283-9f62d,2,verticalBarChart,54,55
283-9f62d,1,treemapChart,78,80
283-1f94a,2,pieChart,70,58
283-1f94a,1,donutChart,43,25
283-1f94a,4,bubbleChart,32,33
283-1f94a,3,verticalBarChart,79,80
283-1f94a,0,treemapChart,25,20
283-dfd40,2,pieChart,51,42
283-dfd40,3,donutChart,51,51
283-dfd40,1,bubbleChart,65,83
283-dfd40,0,verticalBarChart,37,41
283-dfd40,4,treemapChart,46,52
283-bb9b2,0,pieChart,22,10
283-bb9b2,4,donutChart,74,53
283-bb9b2,2,bubbleChart,22,21
283-bb9b2,3,verticalBarChart,68,71
283-bb9b2,1,treemapChart,69,50
283-318be,3,pieChart,65,75
283-318be,1,donutChart,76,74
283-318be,2,bubbleChart,52,30
283-318be,4,verticalBarChart,24,30
283-318be,0,treemapChart,40,30
283-108ab,2,pieChart,36,25
283-108ab,3,donutChart,90,80
283-108ab,1,bubbleChart,77,50
283-108ab,0,verticalBarChart,20,20
283-108ab,4,treemapChart,54,50
283-8b3b6,3,pieChart,27,13
283-8b3b6,0,donutChart,99,80
283-8b3b6,1,bubbleChart,44,25
283-8b3b6,4,verticalBarChart,71,80
283-8b3b6,2,treemapChart,35,34
283-edaa0,3,pieChart,12,11
283-edaa0,2,donutChart,61,61
283-edaa0,1,bubbleChart,63,40
283-edaa0,4,verticalBarChart,93,95
283-edaa0,0,treemapChart,84,70
283-78241,0,pieChart,30,30
283-78241,3,donutChart,21,20
283-78241,2,bubbleChart,52,51
283-78241,4,verticalBarChart,22,21
283-78241,1,treemapChart,75,55
283-26e44,0,pieChart,70,60
283-26e44,2,donutChart,95,81
283-26e44,1,bubbleChart,66,67
283-26e44,4,verticalBarChart,31,35
283-26e44,3,treemapChart,79,64
283-ee958,0,pieChart,100,80
283-ee958,1,donutChart,92,90
283-ee958,4,bubbleChart,20,15
283-ee958,3,verticalBarChart,28,33
283-ee958,2,treemapChart,64,64
283-c3c1f,1,pieChart,32,25
283-c3c1f,4,donutChart,76,70
283-c3c1f,0,bubbleChart,68,80
283-c3c1f,2,verticalBarChart,24,20
283-c3c1f,3,treemapChart,88,75
283-70edc,2,pieChart,98,89
283-70edc,4,donutChart,90,80
283-70edc,3,bubbleChart,18,18
283-70edc,0,verticalBarChart,76,80
283-70edc,1,treemapChart,47,30
283-47202,0,pieChart,88,90
283-47202,4,donutChart,27,25
283-47202,2,bubbleChart,93,80
283-47202,3,verticalBarChart,39,30
283-47202,1,treemapChart,77,50
283-69da3,3,pieChart,96,80
283-69da3,2,donutChart,65,50
283-69da3,1,bubbleChart,83,80
283-69da3,4,verticalBarChart,64,60
283-69da3,0,treemapChart,38,20
283-504e7,1,pieChart,35,21
283-504e7,3,donutChart,92,94
283-504e7,0,bubbleChart,19,17
283-504e7,4,verticalBarChart,72,82
283-504e7,2,treemapChart,58,43
283-55bbd,4,pieChart,45,43
283-55bbd,2,donutChart,43,43
283-55bbd,3,bubbleChart,72,76
283-55bbd,0,verticalBarChart,28,25
283-55bbd,1,treemapChart,33,30
283-3ff8e,3,pieChart,32,25
283-3ff8e,0,donutChart,96,78
283-3ff8e,2,bubbleChart,72,79
283-3ff8e,1,verticalBarChart,60,66
283-3ff8e,4,treemapChart,17,18
283-ac9bf,4,pieChart,95,99
283-ac9bf,3,donutChart,93,80
283-ac9bf,0,bubbleChart,52,50
283-ac9bf,2,verticalBarChart,87,88
283-ac9bf,1,treemapChart,27,20
283-a2025,1,pieChart,91,78
283-a2025,4,donutChart,72,77
283-a2025,3,bubbleChart,20,14
283-a2025,0,verticalBarChart,23,23
283-a2025,2,treemapChart,92,100
283-4a089,2,pieChart,29,35
283-4a089,3,donutChart,69,60
283-4a089,4,bubbleChart,21,15
283-4a089,0,verticalBarChart,17,18
283-4a089,1,treemapChart,18,21
283-119a3,3,pieChart,89,80
283-119a3,2,donutChart,81,78
283-119a3,0,bubbleChart,15,11
283-119a3,1,verticalBarChart,67,68
283-119a3,4,treemapChart,67,50
283-96794,1,pieChart,43,42
283-96794,4,donutChart,32,30
283-96794,3,bubbleChart,75,67
283-96794,2,verticalBarChart,40,41
283-96794,0,treemapChart,85,89
283-db987,1,pieChart,47,43
283-db987,3,donutChart,38,25
283-db987,2,bubbleChart,77,64
283-db987,0,verticalBarChart,84,82
283-db987,4,treemapChart,37,25
283-c6593,2,pieChart,63,38
283-c6593,4,donutChart,82,69
283-c6593,0,bubbleChart,37,27
283-c6593,1,verticalBarChart,67,67
283-c6593,3,treemapChart,14,16
283-1e785,0,pieChart,37,33
283-1e785,4,donutChart,12,11
283-1e785,1,bubbleChart,56,50
283-1e785,3,verticalBarChart,58,53
283-1e785,2,treemapChart,42,25
283-19495,1,pieChart,59,69
283-19495,2,donutChart,67,43
283-19495,0,bubbleChart,25,17
283-19495,4,verticalBarChart,43,45
283-19495,3,treemapChart,62,28
283-8427a,2,pieChart,31,23
283-8427a,4,donutChart,20,23
283-8427a,1,bubbleChart,15,12
283-8427a,3,verticalBarChart,54,48
283-8427a,0,treemapChart,91,79
283-0bccf,1,pieChart,53,25
283-0bccf,0,donutChart,59,70
283-0bccf,2,bubbleChart,47,36
283-0bccf,3,verticalBarChart,94,96
283-0bccf,4,treemapChart,56,37
283-d0f86,4,pieChart,65,72
283-d0f86,2,donutChart,53,50
283-d0f86,1,bubbleChart,43,37
283-d0f86,0,verticalBarChart,38,38
283-d0f86,3,treemapChart,93,100
283-45566,2,pieChart,19,18
283-45566,0,donutChart,22,12
283-45566,4,bubbleChart,54,50
283-45566,3,verticalBarChart,29,28
283-45566,1,treemapChart,52,34
283-1c602,0,pieChart,11,11
283-1c602,1,donutChart,68,50
283-1c602,4,bubbleChart,96,90
283-1c602,2,verticalBarChart,42,33
283-1c602,3,treemapChart,85,80
283-47a29,1,pieChart,83,80
283-47a29,3,donutChart,41,41
283-47a29,4,bubbleChart,55,50
283-47a29,0,verticalBarChart,98,96
283-47a29,2,treemapChart,81,75
283-60c9d,0,pieChart,32,25
283-60c9d,1,donutChart,43,25
283-60c9d,3,bubbleChart,90,90
283-60c9d,4,verticalBarChart,39,40
283-60c9d,2,treemapChart,31,25
283-0dbe7,3,pieChart,31,20
283-0dbe7,2,donutChart,48,35
283-0dbe7,0,bubbleChart,100,90
283-0dbe7,1,verticalBarChart,21,20
283-0dbe7,4,treemapChart,95,100
283-ce0a2,0,pieChart,55,30
283-ce0a2,3,donutChart,93,100
283-ce0a2,4,bubbleChart,38,36
283-ce0a2,2,verticalBarChart,100,100
283-ce0a2,1,treemapChart,83,60
283-11bd0,0,pieChart,31,20
283-11bd0,3,donutChart,50,35
283-11bd0,1,bubbleChart,23,20
283-11bd0,2,verticalBarChart,95,95
283-11bd0,4,treemapChart,14,10
283-9c46a,4,pieChart,56,55
283-9c46a,0,donutChart,57,35
283-9c46a,3,bubbleChart,27,21
283-9c46a,1,verticalBarChart,86,87
283-9c46a,2,treemapChart,78,58
283-ef26e,2,pieChart,94,95
283-ef26e,3,donutChart,45,50
283-ef26e,1,bubbleChart,88,85
283-ef26e,0,verticalBarChart,90,90
283-ef26e,4,treemapChart,67,61
283-57522,2,pieChart,49,28
283-57522,1,donutChart,90,87
283-57522,0,bubbleChart,95,100
283-57522,4,verticalBarChart,61,60
283-57522,3,treemapChart,62,33
283-a793d,3,pieChart,86,80
283-a793d,0,donutChart,82,80
283-a793d,1,bubbleChart,78,80
283-a793d,2,verticalBarChart,67,80
283-a793d,4,treemapChart,96,90
283-9ce96,3,pieChart,86,90
283-9ce96,1,donutChart,42,45
283-9ce96,2,bubbleChart,78,80
283-9ce96,4,verticalBarChart,90,90
283-9ce96,0,treemapChart,28,20
283-6069a,2,pieChart,26,20
283-6069a,1,donutChart,61,50
283-6069a,4,bubbleChart,68,60
283-6069a,3,verticalBarChart,15,15
283-6069a,0,treemapChart,59,50
283-6119f,2,pieChart,88,75
283-6119f,4,donutChart,58,67
283-6119f,3,bubbleChart,48,35
283-6119f,0,verticalBarChart,53,50
283-6119f,1,treemapChart,38,25
283-a9a80,2,pieChart,43,40
283-a9a80,1,donutChart,20,15
283-a9a80,4,bubbleChart,16,15
283-a9a80,3,verticalBarChart,47,50
283-a9a80,0,treemapChart,61,50
283-059f9,4,pieChart,28,20
283-059f9,2,donutChart,56,45
283-059f9,3,bubbleChart,13,10
283-059f9,0,verticalBarChart,78,80
283-059f9,1,treemapChart,100,90
283-2e8ad,1,pieChart,68,87
283-2e8ad,2,donutChart,68,87
283-2e8ad,3,bubbleChart,48,50
283-2e8ad,4,verticalBarChart,96,95
283-2e8ad,0,treemapChart,99,100
283-1a671,1,pieChart,45,50
283-1a671,0,donutChart,20,20
283-1a671,2,bubbleChart,78,81
283-1a671,3,verticalBarChart,80,87
283-1a671,4,treemapChart,59,68
283-99a97,4,pieChart,63,35
283-99a97,0,donutChart,86,90
283-99a97,2,bubbleChart,27,20
283-99a97,1,verticalBarChart,17,20
283-99a97,3,treemapChart,88,75
283-e62c3,3,pieChart,18,20
283-e62c3,4,donutChart,35,32
283-e62c3,2,bubbleChart,28,25
283-e62c3,0,verticalBarChart,52,50
283-e62c3,1,treemapChart,37,40
283-eec45,2,pieChart,71,78
283-eec45,0,donutChart,69,63
283-eec45,4,bubbleChart,87,90
283-eec45,1,verticalBarChart,68,73
283-eec45,3,treemapChart,21,18
283-1b771,4,pieChart,73,75
283-1b771,0,donutChart,33,30
283-1b771,3,bubbleChart,25,20
283-1b771,1,verticalBarChart,46,50
283-1b771,2,treemapChart,20,20
283-5a0e5,0,pieChart,55,60
283-5a0e5,2,donutChart,68,86
283-5a0e5,3,bubbleChart,40,25
283-5a0e5,1,verticalBarChart,26,30
283-5a0e5,4,treemapChart,60,45
283-afe9a,3,pieChart,63,50
283-afe9a,0,donutChart,41,43
283-afe9a,1,bubbleChart,29,25
283-afe9a,2,verticalBarChart,80,75
283-afe9a,4,treemapChart,39,30
283-a85d5,1,pieChart,29,15
283-a85d5,3,donutChart,70,80
283-a85d5,0,bubbleChart,42,25
283-a85d5,4,verticalBarChart,70,65
283-a85d5,2,treemapChart,83,68
283-0bd2c,0,pieChart,68,55
283-0bd2c,1,donutChart,95,90
283-0bd2c,3,bubbleChart,89,80
283-0bd2c,2,verticalBarChart,73,75
283-0bd2c,4,treemapChart,70,50
283-3760c,3,pieChart,68,42
283-3760c,1,donutChart,78,54
283-3760c,4,bubbleChart,74,67
283-3760c,2,verticalBarChart,41,43
283-3760c,0,treemapChart,50,34
283-37219,0,pieChart,44,43
283-37219,3,donutChart,89,83
283-37219,2,bubbleChart,58,44
283-37219,1,verticalBarChart,47,48
283-37219,4,treemapChart,27,20
283-145e3,3,pieChart,12,11
283-145e3,1,donutChart,95,88
283-145e3,2,bubbleChart,55,61
283-145e3,4,verticalBarChart,98,95
283-145e3,0,treemapChart,40,33
283-7e8c9,4,pieChart,36,25
283-7e8c9,1,donutChart,53,64
283-7e8c9,3,bubbleChart,38,33
283-7e8c9,0,verticalBarChart,69,68
283-7e8c9,2,treemapChart,84,50
283-c41e7,3,pieChart,68,62
283-c41e7,1,donutChart,65,59
283-c41e7,0,bubbleChart,42,32
283-c41e7,2,verticalBarChart,96,92
283-c41e7,4,treemapChart,88,80
283-33a7a,4,pieChart,85,84
283-33a7a,1,donutChart,52,62
283-33a7a,3,bubbleChart,52,54
283-33a7a,0,verticalBarChart,46,48
283-33a7a,2,treemapChart,76,69
283-7aa30,3,pieChart,27,30
283-7aa30,4,donutChart,28,20
283-7aa30,1,bubbleChart,35,43
283-7aa30,0,verticalBarChart,97,94
283-7aa30,2,treemapChart,48,50
283-47722,3,pieChart,36,22
283-47722,4,donutChart,43,39
283-47722,1,bubbleChart,50,63
283-47722,0,verticalBarChart,54,50
283-47722,2,treemapChart,44,38
283-f53e8,4,pieChart,57,47
283-f53e8,2,donutChart,45,26
283-f53e8,3,bubbleChart,100,100
283-f53e8,0,verticalBarChart,48,46
283-f53e8,1,treemapChart,53,46
283-e6457,3,pieChart,88,78
283-e6457,0,donutChart,95,100
283-e6457,4,bubbleChart,52,65
283-e6457,1,verticalBarChart,82,80
283-e6457,2,treemapChart,37,25
