graphtype,guess,actual,percenterror,log2error
scatter,2,2.1,4.886904762,2.288920989
scatter,9,6.7,34.45335821,5.106572706
scatter,4,3.8,5.388157895,2.429792128
scatter,8,5.8,38.05603448,5.250053333
scatter,6,5,20.125,4.330916878
scatter,10,8.6,16.40406977,4.03598188
scatter,3,2.5,20.125,4.330916878
scatter,3,2.1,42.98214286,5.425665504
scatter,16,15.5,3.350806452,1.744508356
scatter,1,1,0.125,0
scatter,10,6.5,53.97115385,5.754116626
scatter,2,2.8,28.69642857,4.842799292
scatter,19,15.3,24.30800654,4.60335968
scatter,4,2.9,38.05603448,5.250053333
scatter,10,10.4,3.971153846,1.989558253
scatter,0.5,0.6,16.79166667,4.069673528
scatter,10,9.8,2.165816327,1.114910899
scatter,3,2.5,20.125,4.330916878
scatter,6,4.4,36.48863636,5.189375331
scatter,12,8.3,44.70331325,5.482309858
scatter,7,4.3,62.91569767,5.975348114
scatter,20,21.8,8.381880734,3.067273993
scatter,11,6.9,59.54528986,5.895915488
scatter,6,6.2,3.350806452,1.744508356
scatter,22,18.2,21.00412088,4.392600498
scatter,2,2.8,28.69642857,4.842799292
scatter,3,2.4,25.125,4.651051691
scatter,4,4.1,2.56402439,1.358409986
scatter,14,11.3,24.01880531,4.586092488
scatter,31,26.7,16.22986891,4.020579442
scatter,8,7.6,5.388157895,2.429792128
scatter,6,6.2,3.350806452,1.744508356
scatter,25,22,13.76136364,3.782551531
scatter,24,24.9,3.739457831,1.902829115
scatter,28,28.4,1.533450704,0.6167817891
scatter,8,6.2,29.15725806,4.865783151
scatter,12,12.6,4.886904762,2.288920989
scatter,6,4.4,36.48863636,5.189375331
scatter,14,13.3,5.388157895,2.429792128
scatter,16,13.3,20.42575188,4.35231728
scatter,30,27.1,10.82610701,3.436442648
scatter,5,2.4,108.4583333,6.760997096
scatter,9,6.2,45.28629032,5.501002459
scatter,5,3,66.79166667,6.061596209
scatter,5,6.1,18.15778689,4.182516469
scatter,12,10.8,11.23611111,3.490070891
scatter,5,5.5,9.215909091,3.204126486
scatter,2,2,0.125,0
scatter,8,7.6,5.388157895,2.429792128
scatter,5,4.4,13.76136364,3.782551531
scatter,4,1.8,122.3472222,6.934837537
scatter,12,10.4,15.50961538,3.955091005
scatter,5,2.7,85.31018519,6.41464609
scatter,14,10.7,30.9661215,4.952618792
scatter,4,3.6,11.23611111,3.490070891
shotchart,4,5,20.125,4.330916878
shotchart,7,14.9,53.14513423,5.731865705
shotchart,4,4.4,9.215909091,3.204126486
shotchart,1,2.9,65.64224138,6.036552596
shotchart,3,5.6,46.55357143,5.540819945
shotchart,2,2,0.125,0
shotchart,3,2,50.125,5.647458426
shotchart,8,10.5,23.93452381,4.581021198
shotchart,15,14,7.267857143,2.861530062
shotchart,12,8.1,48.27314815,5.593149011
shotchart,20,14.8,35.26013514,5.139966099
shotchart,2,1.1,81.94318182,6.356552008
shotchart,12,9.4,27.78457447,4.79621224
shotchart,5,11.4,56.26535088,5.814174855
shotchart,1,3.3,69.8219697,6.125609151
shotchart,2,2.9,31.15948276,4.96159938
shotchart,25,23,8.820652174,3.140885328
shotchart,5,7.4,32.55743243,5.024915024
shotchart,4,3.3,21.33712121,4.415293637
shotchart,3,6.8,56.00735294,5.807544339
shotchart,8,3.9,105.2532051,6.717720356
shotchart,4,4.6,13.16847826,3.719016733
shotchart,2,2,0.125,0
shotchart,6,9,33.45833333,5.064293677
shotchart,14,19.6,28.69642857,4.842799292
shotchart,7,9.3,24.8561828,4.635532851
shotchart,19,25.5,25.61519608,4.67892803
shotchart,8,9.9,19.31691919,4.271793116
shotchart,1,3.6,72.34722222,6.17686572
shotchart,1,1.1,9.215909091,3.204126486
shotchart,1,4,75.125,6.231221181
shotchart,10,8,25.125,4.651051691
shotchart,2,4,50.125,5.647458426
shotchart,8,11.4,29.9495614,4.904462971
shotchart,4,6.1,34.55122951,5.110665145
shotchart,12,13.8,13.16847826,3.719016733
shotchart,7,8.7,19.66522989,4.297575146
shotchart,3,8,62.625,5.968666793
shotchart,8,5.6,42.98214286,5.425665504
shotchart,2,2.4,16.79166667,4.069673528
shotchart,4,2.4,66.79166667,6.061596209
shotchart,4,10.4,61.66346154,5.946343974
shotchart,16,15.7,2.035828025,1.025615696
shotchart,13,4.6,182.7336957,7.513598878
shotchart,13,2.4,441.7916667,8.787222396
shotchart,1,1,0.125,0
shotchart,50,18.2,174.8502747,7.449976253
shotchart,22,22.5,2.347222222,1.230954435
shotchart,18,8.1,122.3472222,6.934837537
shotchart,25,8,212.625,7.732167426
shotchart,0,0.8,100.125,6.645658432
shotchart,5,2,150.125,7.230020436
shotchart,1,0.5,100.125,6.645658432
shotchart,18,20.6,12.74635922,3.67201332
shotchart,2,2.5,20.125,4.330916878
shotchart,2,1.8,11.23611111,3.490070891
shotchart,4,6.8,41.30147059,5.368121246
shotchart,8,9.2,13.16847826,3.719016733
shotchart,8,7.7,4.021103896,2.007591613
shotchart,7,10.8,35.31018519,5.142012482
shotchart,3,3.9,23.20192308,4.536172482
shotchart,0,15.8,100.125,6.645658432
shotchart,5,3.6,39.01388889,5.285915908
shotchart,20,27.6,27.66123188,4.789793503
shotchart,2,3.3,39.51893939,5.304472323
shotchart,4,3.6,11.23611111,3.490070891
shotchart,5,8.7,42.65373563,5.414600194
shotchart,5,7.6,34.33552632,5.101630173
shotchart,2,5,60.125,5.909893084
shotchart,2,4.1,51.3445122,5.682138182
shotchart,10,17.5,42.98214286,5.425665504
shotchart,8,14,42.98214286,5.425665504
shotchart,14,17.7,21.0289548,4.394305241
shotchart,11,11.7,6.107905983,2.610677855
shotchart,2,2.3,13.16847826,3.719016733
shotchart,12,14.2,15.61795775,3.965133909
shotchart,6,9,33.45833333,5.064293677
shotchart,5,4.3,16.40406977,4.03598188
shotchart,7,18.2,61.66346154,5.946343974
shotchart,12,21.4,44.05023364,5.461077766
shotchart,2,1.6,25.125,4.651051691
shotchart,4,5.8,31.15948276,4.96159938
shotchart,7,12.9,45.86143411,5.519209564
shotchart,6,3.8,58.01973684,5.858471847
shotchart,5,8,37.625,5.233619677
shotchart,5,4.9,2.165816327,1.114910899
shotchart,15,13.8,8.820652174,3.140885328
shotchart,3,2.8,7.267857143,2.861530062
shotchart,4,4.3,7.101744186,2.828173394
shotchart,10,11.1,10.03490991,3.32695576
shotchart,1,1.3,23.20192308,4.536172482
shotchart,24,34.2,29.9495614,4.904462971
shotchart,1,1,0.125,0
shotchart,4,2.5,60.125,5.909893084
shotchart,9,9.6,6.375,2.672425342
shotchart,18,28.4,36.74471831,5.199464987
shotchart,21,21.8,3.794724771,1.923995252
shotchart,23,12.7,81.2273622,6.34389389
shotchart,14,3.9,259.099359,8.017361636
shotchart,2,8,75.125,6.231221181
shotchart,26,21,23.93452381,4.581021198
shotchart,14,4.8,191.7916667,7.583396227
shotchart,15,15.6,3.971153846,1.989558253
shotchart,10,5.6,78.69642857,6.298226259
shotchart,20,24.6,18.82418699,4.234515652
shotchart,7,5,40.125,5.326429487
shotchart,22,11.4,93.10745614,6.5408248
shotchart,22,21.4,2.928738318,1.550279294
shotchart,14,6.4,118.875,6.893301531
shotchart,13,5.8,124.262931,6.957252179
shotchart,1,2,50.125,5.647458426
shotchart,13,14.5,10.46982759,3.38816578
shotchart,16,3.8,321.1776316,8.32722761
shotchart,18,7.4,143.3682432,7.163581685
shotchart,4,6.4,37.625,5.233619677
shotchart,10,4.1,144.027439,7.170199879
shotchart,13,19.2,32.41666667,5.018663844
shotchart,18,1,1700.125,10.73142511
shotchart,1,1.7,41.30147059,5.368121246
shotchart,1.5,2.6,42.43269231,5.407104314
shotchart,12,13.2,9.215909091,3.204126486
shotchart,6,4.8,25.125,4.651051691
shotchart,5,2.5,100.125,6.645658432
shotchart,14,11.7,19.78311966,4.306198042
shotchart,7,5.7,22.93201754,4.519291383
shotchart,12,11.8,1.819915254,0.8638712718
shotchart,3,2.3,30.55978261,4.933562375
shotchart,20,19.6,2.165816327,1.114910899
shotchart,6,5.6,7.267857143,2.861530062
shotchart,12,12.2,1.764344262,0.8191320898
shotchart,5,6,16.79166667,4.069673528
shotchart,4,5.8,31.15948276,4.96159938
shotchart,4,2.7,48.27314815,5.593149011
shotchart,10,11,9.215909091,3.204126486
shotchart,3,3.3,9.215909091,3.204126486
shotchart,4.2,6.8,38.36029412,5.261541877
shotchart,4,3.9,2.689102564,1.427124782
shotchart,10,10,0.125,0
