trialNum,Vis Type,Reported Percent,True Percent,Error
53,Donut Chart,80,70,3.339850003
54,Stack Chart,33,47,3.820178962
55,Donut Chart,50,46,2.044394119
56,Pie Chart,33,28,2.357552005
57,Stack Chart,50,67,4.098032083
58,Bar Chart,9,5,2.044394119
59,Donut Chart,90,62,4.813781191
60,Pie Chart,50,50,0
61,Stack Chart,20,19,0.169925001
62,Pie Chart,90,79,3.475733431
63,Donut Chart,33,50,4.098032083
64,Pie Chart,20,17,1.64385619
65,Stack Chart,50,51,0.169925001
66,Stack Chart,45,56,3.475733431
67,Bar Chart,90,90,0
68,Bar Chart,45,39,2.614709844
69,Donut Chart,20,12,3.022367813
70,Bar Chart,43,42,0.169925001
71,Stack Chart,10,16,2.614709844
72,Bar Chart,56,60,2.044394119
73,Donut Chart,34,46,3.599912842
74,Bar Chart,15,12,1.64385619
75,Donut Chart,90,96,2.614709844
76,Stack Chart,9,6,1.64385619
77,Stack Chart,90,91,0.169925001
78,Stack Chart,50,56,2.614709844
79,Bar Chart,50,51,0.169925001
80,Bar Chart,90,93,1.64385619
1,Stack Chart,50,58,3.022367813
2,Bar Chart,65,59,2.614709844
3,Bar Chart,30,25,2.357552005
4,Pie Chart,50,57,2.832890014
5,Pie Chart,10,8,1.087462841
6,Pie Chart,90,70,4.330916878
7,Stack Chart,45,53,3.022367813
8,Pie Chart,50,45,2.357552005
9,Donut Chart,20,26,2.614709844
10,Donut Chart,80,81,0.169925001
11,Bar Chart,70,57,3.714245518
12,Pie Chart,50,44,2.614709844
13,Bar Chart,22,36,3.820178962
14,Bar Chart,95,92,1.64385619
15,Pie Chart,40,34,2.614709844
16,Pie Chart,100,87,3.714245518
17,Donut Chart,10,11,0.169925001
18,Stack Chart,50,67,4.098032083
19,Stack Chart,90,89,0.169925001
20,Donut Chart,15,26,3.475733431
21,Stack Chart,30,40,3.339850003
22,Donut Chart,70,64,2.614709844
23,Bar Chart,2,3,0.169925001
24,Stack Chart,100,92,3.022367813
25,Pie Chart,60,36,4.592457037
26,Pie Chart,50,50,0
27,Pie Chart,35,26,3.189824559
28,Bar Chart,84,86,1.087462841
29,Stack Chart,70,72,1.087462841
30,Donut Chart,40,51,3.475733431
31,Donut Chart,45,39,2.614709844
32,Pie Chart,10,7,1.64385619
33,Donut Chart,15,22,2.832890014
